Country,Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cocos (Keeling) Islands,CCK,27.7999,28.0,27.2,27.1,27.5,27.6,27.5,28.7999,27.7999,27.2999,27.0,28.0,27.7,27.7999,28.0,27.6,27.7999,27.7,27.5,28.1,27.6,27.6,28.2999,28.4,28.1
Colombia,COL,25.4462,25.8193,25.1395,25.1901,25.4399,25.1578,24.996,26.1847,24.8264,24.5627,24.9978,25.4652,25.8993,25.5493,25.6283,25.1252,25.3997,24.7947,25.1326,26.4963,24.8345,25.054,25.6884,25.4366,25.6278
Comoros,COM,26.6854,27.0375,26.8183,27.1519,27.131,26.8806,27.3247,27.6977,27.2371,27.0498,27.1913,34.5821,27.7519,27.7088,27.4571,27.3519,27.5434,26.9917,27.4375,27.7797,27.1912,27.2705,27.3869,27.1705,27.6215
"Congo, Rep.",COG,25.8071,25.8515,25.6204,25.6302,25.5129,25.4128,25.9635,26.7019,26.0136,25.8549,25.8387,26.1604,26.0034,26.3181,26.3956,26.6381,26.0768,25.483,26.2709,26.8314,25.9063,25.9431,25.8699,25.792,25.8326
"Congo, Dem. Rep.",ZAR,24.9955,25.3314,25.0042,24.9473,25.0558,24.7995,25.6619,25.5976,24.8524,25.019,26.3813,25.7248,25.6813,25.5403,26.2057,25.8613,25.6972,25.3676,25.9882,26.4163,25.3641,25.6773,25.2479,25.3465,25.498
Cook Islands,COK,26.9259,25.9744,26.1893,27.0702,26.5299,26.7942,27.242,26.6766,26.8149,26.936,27.0392,26.4182,26.7337,26.8436,26.3573,26.4082,26.5773,26.2573,26.6119,26.371,26.1871,26.5058,26.4106,26.1958,26.3301
Costa Rica,CRI,26.6474,27.1778,26.4281,26.5467,26.3249,25.9004,26.5283,27.5816,25.4312,25.6389,26.429,26.7832,26.9255,26.9691,26.6397,26.2141,26.2439,25.9182,26.6897,26.8939,26.1639,25.5878,25.7687,26.5057,26.0779
Cote d'Ivoire,CIV,28.2387,28.4809,28.0523,28.5885,28.3984,28.5665,28.5715,29.7897,28.5001,28.8768,28.4865,28.7653,29.0247,28.4292,29.315,28.7649,29.3802,28.5877,28.7401,30.1492,29.3011,28.8792,29.3512,28.4955,29.0219
Croatia,HRV,21.194,23.4708,21.4588,23.0644,22.5527,20.0243,20.2929,21.4103,20.9888,22.7484,22.4151,21.3581,23.8887,20.9219,20.8594,22.9122,22.5138,21.6524,22.4239,22.3612,22.5323,23.6096,22.6745,20.3212,23.8498
Cuba,CUB,28.3654,27.8816,28.0361,28.0708,28.1371,27.6245,28.1223,28.5381,27.8197,28.1563,28.2672,28.0878,28.2614,28.1423,28.4017,28.5063,28.4131,27.5522,28.1027,28.0759,27.7941,27.9922,27.5081,28.5805,28.6465
Cyprus,CYP,26.9467,27.6949,27.7312,27.9689,27.954,27.7997,28.5165,29.8495,28.8101,29.2605,28.7596,28.9785,29.1885,28.8953,28.5192,28.2606,28.5214,29.2225,28.5105,29.9813,28.4771,29.3967,28.3168,28.5904,28.003
Czech Republic,CZE,19.1393,21.0309,17.2666,21.5243,20.3404,17.0966,18.8511,17.6905,18.9257,19.0706,19.0759,19.2323,20.9547,18.8871,18.3185,21.3945,18.9014,18.4454,19.447,20.5846,18.9611,19.4778,20.2404,19.9246,21.2628
Denmark,DNK,17.9265,17.5917,14.6423,19.8484,18.2361,17.8262,19.8664,14.8023,17.625,15.5578,17.8821,19.8652,18.552,18.3797,17.7587,20.5697,17.1875,18.0312,17.8308,19.365,16.967,17.3248,18.2544,20.0012,17.6736
Djibouti,DJI,32.1394,32.1693,32.1021,32.407,32.3271,32.4303,33.3638,33.0448,32.2133,33.0312,32.8242,33.5158,32.9511,32.9784,31.9373,32.0965,31.6174,32.381,32.8028,32.1717,32.797,32.4676,32.0074,32.5809,34.0135
Dominica,DMA,26.5968,26.2633,26.4068,26.5695,26.5983,26.2197,26.6788,27.038,26.5476,26.2816,26.8378,26.6255,26.2875,26.359,26.8372,26.2777,26.3377,26.5124,26.6841,26.5811,26.7838,26.4183,26.1747,26.2183,26.5841
Dominican Republic,DOM,25.896,26.0665,25.2662,26.1476,26.3736,25.8574,26.6031,26.5504,26.7974,26.3833,26.457,26.3491,25.9856,26.2465,26.307,26.1149,25.602,25.5825,26.0689,26.0827,25.3808,26.2008,26.6918,26.2697,27.3668
Ecuador,ECU,22.6384,22.6116,21.9246,22.0036,22.318,22.1269,22.8883,23.4467,22.1186,21.9552,22.7006,22.306,22.1563,22.2506,21.9337,21.6057,22.2675,21.5141,22.927,22.7746,21.8107,22.103,22.2908,22.3434,23.097
"Egypt, Arab Rep.",EGY,29.0902,29.9534,30.2434,29.9483,31.2898,30.2353,30.5911,31.6871,31.0208,30.6026,31.2444,31.5639,30.8755,30.7192,30.8932,31.6177,30.9943,31.2322,30.952,32.0617,30.9292,31.2556,30.4264,31.0232,31.5414
El Salvador,SLV,26.5294,25.7196,25.6843,26.1951,25.4214,25.3072,25.9969,27.007,25.3517,25.5613,26.2226,26.2211,26.1189,26.5473,26.6337,26.0181,25.9182,26.8179,27.0473,26.7501,26.0765,26.3358,26.107,26.3646,26.3605
Equatorial Guinea,GNQ,25.6431,26.001,25.173,25.5998,25.6338,26.1304,25.7496,26.6917,26.3313,25.8733,26.1035,26.247,26.5717,26.5352,26.8359,25.7389,26.0201,25.3841,25.8187,26.1583,25.9825,26.2473,26.2894,26.3067,26.756
Eritrea,ERI,30.0411,28.8814,31.0139,29.4334,29.8735,29.4565,30.0796,30.9881,30.4184,30.3118,29.7123,30.4066,30.6676,29.6678,29.8899,30.338,30.3034,30.2668,31.0926,30.618,30.682,30.4698,30.5101,30.3032,31.6895
Estonia,EST,17.2613,17.4019,16.1208,20.2828,16.7506,18.0419,19.0064,16.2115,18.9778,16.4406,20.4023,19.2791,20.1487,17.5047,18.7745,19.119,18.2732,16.9435,17.2493,21.0876,20.1211,18.239,17.7476,19.8336,17.6637
Ethiopia,ETH,24.7054,24.7617,23.9159,24.8239,24.5689,25.1569,24.2248,25.4863,24.7447,24.7904,25.0305,25.2851,25.4284,24.8338,24.9082,24.4076,24.7893,24.3252,25.4265,25.2193,25.3552,25.0678,25.2,24.7025,24.9227
Falkland Islands (Malvinas),FLK,10.6059,10.3669,10.6749,10.7416,10.3026,9.25048,10.7121,9.76747,9.98492,10.7077,9.55309,10.6461,10.3808,11.2145,11.1713,10.4463,9.58186,11.3069,10.8227,10.6917,11.0266,12.0744,10.2009,10.1775,9.72176
Faroe Islands,FRO,12.2861,10.4599,9.3966,10.6972,11.2347,10.9966,11.9184,10.6966,10.3707,10.8332,11.107,11.6064,12.4966,11.543,10.9966,11.2966,10.4972,11.3168,11.5064,10.6064,10.6064,10.4805,11.0609,11.7347,11.0698
Fiji,FJI,26.2395,25.8841,25.3812,26.0559,26.0078,26.2951,26.1135,26.6241,25.9557,26.4468,26.0555,26.1113,26.1956,26.1533,26.5887,26.1138,26.4629,25.8049,26.1808,26.0934,26.1016,25.617,25.7749,25.9562,25.954
Finland,FIN,15.3284,14.1224,14.8856,16.6164,14.6854,15.6175,17.019,15.4439,15.8813,15.7233,16.9524,17.0774,18.8181,16.0333,17.1899,16.0539,15.1214,14.4189,14.8377,18.0778,17.7295,15.3767,15.5483,17.9912,14.865
France,FRA,20.2308,19.3533,17.6285,20.2297,20.8111,18.612,20.656,19.3486,19.8655,20.0111,19.4476,18.5682,20.7132,19.366,19.16,21.1634,18.3435,19.0882,20.3909,19.7211,18.9975,20.8303,21.6034,18.459,21.1148
French Guiana,GUF,26.0278,26.2116,26.1305,26.2485,26.5951,26.6682,27.4694,26.9939,26.7676,26.8138,26.775,26.6652,26.8459,26.8802,27.2044,26.9893,26.7603,26.8951,26.9777,27.2987,26.69,27.0117,26.8075,26.8785,27.3344
French Polynesia,PYF,25.392,25.5018,25.7001,25.8973,25.9564,25.234,25.7064,26.2395,25.2864,25.0976,25.6078,26.0273,25.9373,25.6782,25.7363,25.7363,25.9197,25.2701,26.0329,26.1977,24.9457,25.6145,25.8351,25.3652,25.9747
Gabon,GAB,26.1741,26.1298,25.8009,25.951,26.0617,25.8487,26.2682,27.0027,26.6857,26.5658,26.5155,26.6497,26.5419,26.9378,26.9191,26.5455,26.5294,26.1152,26.5047,26.7054,26.6279,26.5375,26.5072,26.7375,26.824
"Palestinian Territory, Occupied",PSE,25.7659,26.5622,27.0975,26.7363,26.9608,27.2628,27.0218,28.8127,28.1697,28.9676,28.1317,28.6153,28.3692,28.1391,27.8751,28.097,27.9239,28.3082,27.9793,29.5248,28.4974,29.5433,27.8979,27.8884,29.1002
Georgia,GEO,18.875,17.8823,18.0063,17.8951,18.8079,19.4879,18.8872,20.0352,20.484,20.9646,20.098,19.8343,18.9467,19.5249,19.4906,21.4335,19.8913,20.0383,18.8347,20.4704,20.5632,19.7416,18.2764,21.322,19.7679
Germany,DEU,19.6432,19.56,16.5336,21.7445,20.5315,17.5761,20.3683,17.2254,19.4417,18.0981,18.999,19.1396,21.1638,19.0342,18.4984,22.4364,17.8249,18.5435,19.2937,20.7858,18.1734,19.2147,20.0602,19.8133,20.25
Ghana,GHA,29.9223,29.8329,29.6541,30.0225,29.7677,30.1164,29.7299,30.7398,30.0018,29.9197,29.8977,29.9966,30.0868,29.9882,30.6096,30.3242,30.1764,29.7596,29.8857,30.829,30.3688,30.2761,30.128,29.8548,30.1383
Gibraltar,GIB,25.125,24.6325,24.545,26.0599,25.0,23.8799,23.8125,24.9699,24.59,24.2425,24.9275,23.9974,25.605,24.6775,24.9874,25.1175,24.6374,25.375,25.4424,26.0275,25.4249,25.4349,25.0599,24.3925,26.2225
