Country,Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Guatemala,GTM,21.5919,21.487,20.9704,21.6607,21.9003,20.4629,21.7538,21.3508,21.0283,21.0042,21.3735,22.0402,21.3805,22.1053,21.8024,22.2713,21.4072,21.9811,22.0059,21.0529,21.8103,22.1314,22.0141,22.2587,22.8006
Guinea,GIN,24.4452,23.8676,23.1548,23.6707,23.3058,24.5173,24.0909,24.6099,24.4553,24.0944,24.4929,24.8835,24.4899,24.8143,24.5687,24.383,24.3266,23.8542,23.8811,24.6503,24.3427,24.1143,24.2276,24.4515,23.4696
Guinea-Bissau,GNB,23.6164,24.9594,24.3459,23.8731,23.9303,25.5002,24.786,25.2445,25.792,24.4636,24.7774,25.5355,25.2551,25.0152,26.3103,24.4224,24.8268,24.1053,23.9484,25.4246,24.5744,24.746,24.5102,25.5066,24.5101
Guyana,GUY,25.2204,24.1966,24.163,24.3852,25.4673,24.9836,24.7433,25.8478,25.2453,25.1272,25.14,24.0785,25.2285,24.7674,24.9814,25.0743,24.8459,25.0675,25.4493,25.7155,25.1558,24.8896,24.9673,25.3595,25.6092
Haiti,HTI,23.0347,23.0503,23.1202,23.0777,22.9559,22.7771,22.7302,23.5483,22.448,22.4316,22.5032,23.438,23.5292,23.3618,21.1146,21.3491,22.5091,21.676,22.183,21.8422,21.9937,21.9104,23.0554,23.4154,23.3271
Honduras,HND,22.1513,21.8713,21.8106,21.657,22.2244,21.0494,21.7996,21.9231,21.3895,21.0575,21.5503,22.2514,21.2738,22.1343,21.7909,22.1734,22.1361,21.9555,22.3802,21.4346,22.5835,22.1072,22.5396,21.532,22.4465
Hungary,HUN,-2.6597,-0.4692,-1.8311,1.06197,-1.1532,-2.6993,-2.4181,-3.818,-0.6553,-2.4782,-4.3408,-1.0864,-3.8718,-2.5518,-2.6497,-3.2601,-0.8187,1.06518,-1.8429,-1.9793,-0.4578,-3.9455,-0.0549,2.43067,1.68889
Iceland,ISL,-2.5999,-2.7327,-4.8865,-4.3127,-4.8378,-5.4442,-3.6541,-4.0524,-4.227,-3.3717,-3.6427,-5.6795,-2.5216,-3.1435,-2.2811,-2.409,-2.9171,-2.7115,-3.3584,-3.3531,-4.7794,-2.1904,-2.9127,-2.8622,-2.7215
India,IND,16.642,16.8263,17.3253,17.6513,16.0098,17.6419,16.5397,17.2569,16.7506,17.9382,17.2849,17.3294,17.4062,17.1243,17.3341,17.7795,17.6062,17.382,18.6935,17.1528,16.5939,16.7365,17.0686,17.1987,16.6115
Indonesia,IDN,25.8474,25.5456,25.6882,25.3852,25.6181,25.7705,25.6219,25.9497,25.7702,25.4851,25.8764,25.7781,25.9868,25.4566,26.026,25.5763,25.5618,25.3426,25.809,25.7415,25.4972,25.5861,25.9049,25.5807,25.8036
Iran,IRN,5.40529,2.88194,4.40803,5.54139,5.8055,3.78437,6.17244,4.44715,6.09037,5.95012,4.99177,5.90737,6.14129,5.73617,5.16798,4.20328,3.9146,-0.0391,4.94639,7.91427,5.76861,5.35753,6.16266,4.53669,6.54073
Iraq,IRQ,8.83871,6.48872,8.43735,8.35089,9.66406,9.97539,9.46535,8.62164,10.9295,9.41954,9.57329,8.97447,10.475,8.40255,9.01235,7.21003,7.68097,4.94733,8.83778,12.4189,10.4092,9.33783,8.91082,9.00604,8.92136
Ireland,IRL,3.45608,4.59746,5.4492,4.50146,4.05489,3.83538,4.12838,5.39119,4.93941,5.12285,3.78276,5.77732,4.89679,5.32502,4.86692,5.04576,5.7568,4.70519,3.23134,1.89495,3.39347,5.42136,4.06687,5.1138,4.36618
Israel,ISR,10.8851,8.96633,9.65474,10.8066,11.6114,11.9799,10.3143,11.7565,12.6005,10.7914,12.7936,10.6653,11.8739,12.4767,12.6093,11.9336,11.6283,9.42487,12.4844,14.3271,13.0888,10.9773,12.3909,12.933,11.2948
Italy,ITA,2.63467,3.85463,3.58173,4.78342,3.44714,3.56218,5.18743,3.46874,3.20417,2.60285,2.77549,2.94132,2.27234,3.55695,2.33129,2.68549,4.63951,5.04079,3.82675,3.07142,4.13154,1.81566,3.22249,6.05826,4.81348
Jamaica,JAM,23.2804,24.1069,22.7625,24.2319,23.9188,23.5739,23.6313,24.6279,23.2979,23.5969,23.6987,24.4254,24.1087,23.9798,21.0984,21.0594,23.9168,22.1729,22.8071,22.9168,22.4543,23.6524,24.1063,23.6355,24.2831
Japan,JPN,-0.2764,0.42706,0.86272,-0.6656,-0.4768,-0.6859,-0.0264,-1.1105,-0.1153,-1.0491,-1.6216,0.65774,-0.8649,-0.2243,-0.6464,-0.9142,1.14277,-0.7723,0.63447,0.29584,-1.8704,-1.2054,-1.2821,-0.3389,0.47881
